Prospecting Data,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Company Name,Contact Name,,BusinessPhone,,,,Email,,,,,PWC,,,
Lakeside General Contracting  Local service,facebook.com/104697155086912,facebook.com/Lakeside-General-Contracting-104697155086912/,8072283673,,,,pwar430@gmail.com,"Rossport, ON, Canada P0T2R0","Excavation services like digging and trenching. Sidewalks, patios, decks, retaining walls and much... Rossport, ON, Canada P0T2R0",patios,,2,,facebook.com/Lakeside-General-Contracting-104697155086912/ With 110 likes.,Zip Not Valid
JL Electric  Electrician,facebook.com/JL-Electric-110894616929234,facebook.com/JL-Electric-110894616929234,7805165333,,,,jlunnelectric@gmail.com,"Slave Lake, AB, Canada T0G 2A3","is owned and operated in Slave Lake, AB. With over 12 years of experience specializing... Slave Lake, AB, Canada T0G 2A3",AB. With over 12 years of experience specializing... Slave Lake,,25,,facebook.com/JL-Electric-110894616929234 With 250 likes.,Zip Not Valid
MH Decks & More  Home Improvement,facebook.com/mhdecksandmore,facebook.com/mhdecksandmore,5879873103,,,Mhdecks.com/,,"Onoway, AB, Canada T0E 1V0","Looking to add on a deck, build a fence, install a window or door, or update a room contact Matt. Onoway, AB, Canada T0E 1V0",build a fence,,17,,facebook.com/mhdecksandmore With 174 likes.,Zip Not Valid
Almeida Electric  Contractor,facebook.com/calmeida.electric,facebook.com/calmeida.electric,5198597583,,,,,"Dorchester, ON, Canada N0L","Our Business consists of a very wide range of service from residential/ comercial electrical work... Dorchester, ON, Canada N0L",ON,,25,,facebook.com/calmeida.electric With 132 likes.,Zip Not Valid
Graham's Construction  Construction Company,facebook.com/GrahamsConstructionOntario,facebook.com/GrahamsConstructionOntario,5195256480,,,,grahamsconstructionontario@gmail.com,"Kincardine, ON, Canada N2Z 2X3","Specialized in Site labourers, Roofing, Decking, Property FencingCall or email for a quote Kincardine, ON, Canada N2Z 2X3",Roofing,,2,,facebook.com/GrahamsConstructionOntario With 198 likes.,Zip Not Valid
Murphy Construction  Contractor,facebook.com/1567485373471723,facebook.com/Murphy-Construction-1567485373471723/,5193741106,,,,murphyconstruction17@gmail.com,"Owen Sound, ON, Canada N4K5N7","located in Grey Bruce providing custom builds and construction services.... Owen Sound, ON, Canada N4K5N7",ON,,2,,facebook.com/Murphy-Construction-1567485373471723/ With 487 likes.,Zip Not Valid
Construction Habit-Action  Construction Company,instagram.com/habit.action/,facebook.com/constructionhabitaction,4189328330,,,construction-habit-action.business.site/,constructionhabitaction@hotmail.com,"Sainte-Brigitte-de-Laval, QC, Canada G0A3K0","Entrepreneur gnral spcialis en charpentes et rnovations rsidentielles. Contactez-nous pour... Sainte-Brigitte-de-Laval, QC, Canada G0A3K0",QC,,2,,facebook.com/constructionhabitaction With 615 likes.,Zip Not Valid
Karma Electric  Electrician,instagram.com/karmaelectricgta,facebook.com/karmaelectricgta,4165500431,,,,karma_electric@yahoo.com,"Georgetown, ON, Canada L7G 3K8","Master Electrician Licenced & Insured Electrical Contractor ECRA/ESA #7013026Electrical... Georgetown, ON, Canada L7G 3K8",ON,,25,,facebook.com/karmaelectricgta With 95 likes.,Zip Not Valid
Batters Up Insulation  Home Improvement,facebook.com/105823824586163,facebook.com/battersupinsulation/,2263448469,,,,battersupinsulation@yahoo.ca,"Windsor, ON, Canada","we are a fully functionable insulation company that provides 100 quality service on any job we do Windsor, ON, Canada",ON,,46,,facebook.com/battersupinsulation/ With 92 likes.,Zip Not Valid
Mud and Meadows Landscaping  PatioGarden,facebook.com/mudandmeadowslandscaping,facebook.com/mudandmeadowslandscaping,6476187130,,,,mudandmeadows@gmail.com,"Hamilton, ON, Canada","Hamilton, Ontario. . Patio/Garden",Hamilton,,47,,facebook.com/mudandmeadowslandscaping With 84 likes.,Zip Not Valid
Grasscape Sod Company  Landscape Company,facebook.com/Grasscape-Sod-Company-193534460679217,facebook.com/Grasscape-Sod-Company-193534460679217,5199833789,,,grasscapesod.com/,,"Tillsonburg, ON, Canada N4G 4G7","Professional Sod Installation for Home Builders and Construction Companies. Tillsonburg, ON, Canada N4G 4G7",ON,,47,,facebook.com/Grasscape-Sod-Company-193534460679217 Finest Sod - Best Service With 23 likes.,Zip Not Valid
Amigo's Landscape and Gardening  Productservice,facebook.com/amigoslandscaping411,facebook.com/amigoslandscaping411,6474932787,,,,services@alag.info,"Richmond Hill, ON, Canada","We provide all your backyard and gardening needs from trimming trees to planting flowers. Contact... Richmond Hill, ON, Canada",ON,,47,,facebook.com/amigoslandscaping411 With 32 likes.,Zip Not Valid
Inland  Concrete Service's  Construction Company,facebook.com/Inland-Concrete-Services-2086849134921389,facebook.com/Inland-Concrete-Services-2086849134921389,7809069021,,,edmontonconcretecontractor.com/,conceptconcrete2006@gmail.com,"Edmonton, AB, Canada 853327","concrete  services  and bobcat  all types of concrete  Edmonton, AB, Canada 853327",AB,,16,,facebook.com/Inland-Concrete-Services-2086849134921389 With 58 likes.,Zip Not Valid
Fowler Construction & General Contracting  Business service,facebook.com/Fowler-Construction-General-Contracting-1083898441721915,facebook.com/Fowler-Construction-General-Contracting-1083898441721915,2048714396,,,,bhfowler@mymts.net,"Oakville, MB, Canada 0","Quality engineered screw pile foundations along with fabrication, on site welding, and any required... Oakville, MB, Canada 0",on site welding,,2,,facebook.com/Fowler-Construction-General-Contracting-1083898441721915 With 63 likes.,Zip Not Valid
Azar Home Inspections  Home Inspector,facebook.com/AzarHomeInspections,facebook.com/AzarHomeInspections,6134458662,,,oahi.com/home-inspectors/azar-home-and-building-inspection-service/,,"Russell, ON, Canada K4R1E5","Douglas Azar, RHI, Azar Home and Building Inspection Service, est. 2001, journeyman carpenter,... Russell, ON, Canada K4R1E5",RHI,,42,,facebook.com/AzarHomeInspections With 55 likes.,Zip Not Valid
LaSalle Landscape Supply  Landscape Company,facebook.com/1437987079585935,facebook.com/LaSalleLandscape/,5199782726,,,lasallelandscapesupply.com/,sales@lasallelandscapesupply.com,"LaSalle, ON, Canada N9H 0H1","We supply Trees, Topsoil, Mulch, Stone, Edging and provide tree planting, moving, and landscaping... LaSalle, ON, Canada N9H 0H1",Topsoil,,47,,facebook.com/LaSalleLandscape/ With 157 likes.,Bad Name WORK-TERM: Supply -- Zip Not Valid
America Marble & Tile Inc.  Carpet & Flooring Store,facebook.com/America-Marble-Tile-Inc-1631479983751567,facebook.com/America-Marble-Tile-Inc-1631479983751567,4032830888,,,Americamarble.com/,info@americamarble.com,"Calgary, AB, Canada T2N-3R1","Profecional Commercial/Residecial Stone/Tile installations.  Calgary, AB, Canada T2N-3R1",AB,,8,,facebook.com/America-Marble-Tile-Inc-1631479983751567 With 198 likes.,Bad Name WORK-TERM: Store -- Zip Not Valid
Blazer Concrete Sawing & Drilling  Contractor,facebook.com/Blazer-Concrete-Sawing-Drilling-170411717000435,facebook.com/Blazer-Concrete-Sawing-Drilling-170411717000435,7097263721,,7096851945,blazer-concrete-sawing-drilling.business.site/,,"St. John's, Newfoundland and Labrador, NL, Canada A1A 5A1","offers all types of concrete cutting and core drilling services.... St. John's, Newfoundland and Labrador, NL, Canada...",Newfoundland and Labrador,,16,,facebook.com/Blazer-Concrete-Sawing-Drilling-170411717000435 With 384 likes.,Bad Name WORK-TERM: Drilling -- Zip Not Valid
Hill's Finished Homes  House Painting,facebook.com/hillsfinishedhomes,facebook.com/hillsfinishedhomes,9055174189,,,,hillsfinishedhomes@gmail.com,1004 Upper Paradise Rd,"Professional indoor painting and wallpaper hanging for 8 years. Private homes, commercial... 1004 Upper Paradise Rd, Hamilton, ON, Canada L9B 2N3",commercial... 1004 Upper Paradise Rd,,37,,facebook.com/hillsfinishedhomes With 263 likes.,Zip Not Valid
Perma-Dry  Concrete Contractor,facebook.com/PermaDryNewGlasgow,facebook.com/PermaDryNewGlasgow,9027524996,,,permadry.com/solutions,newglasgow@permadry.com,556 Westville Road,"At PERMA-DRY, we understand the stress a wet or flooded basement can cause. We've developed a... 556 Westville Road, New Glasgow, NS, Canada B2H 2J8",we understand the stress a wet or flooded basement can cause. We've developed a... 556 Westville Road,,16,,facebook.com/PermaDryNewGlasgow With 66 likes.,Zip Not Valid
Benbrook Roofing  Company,facebook.com/1665871506979709,facebook.com/Benbrook-Roofing-1665871506979709/,7059334335,,,,benbrookroofing@gmail.com,Kawartha Drive,"Benbrook roofing is a small privately owned and operated business with over 10 years experience.... Kawartha Drive, Lindsay, ON, Canada K9V1A5",Lindsay,,65,,facebook.com/Benbrook-Roofing-1665871506979709/ With 229 likes.,Zip Not Valid
Green Team Alberta  Cleaning Service,facebook.com/GreenTeamAB,facebook.com/GreenTeamAB,6043286438,,,greenteamluigi.wixsite.com/gtbc,,16022 103 ave NW,"Pure water window cleaning with no chemicals or ladders, our latest technology will have you amazed... 16022 103 ave NW, Edmonton, AB, Canada",our latest technology will have you amazed... 16022 103 ave NW,,13,,facebook.com/GreenTeamAB With 32 likes.,Zip Not Valid
Entrance Mats Cleaning Solutions  Carpet Cleaner,,facebook.com/Entrancemats,7809044430,,,emcleaningsolutions.com/,emcleaningsolutions@gmail.com,PO Box 78119 Callingwood,"provides high quality commercial, industrial and athletics matting... PO Box 78119 Callingwood, Edmonton, AB, Canada T5T 61A",industrial and athletics matting... PO Box 78119 Callingwood,,11,,facebook.com/Entrancemats With 4 likes.,Zip Not Valid
Halls Masonry and Forming Ltd.  Contractor,facebook.com/377649759047428,facebook.com/Halls-Masonry-and-Forming-Ltd-377649759047428/,6132645400,,6132642778,hallsmasonryandforming.com/,hallsmasonryltd@sympatico.ca,3698 Drummond Conc 2,"HMF is a family owned and operated Masonry/Forming Contracting... 3698 Drummond Conc 2, Perth, ON, Canada K7H 3C3",Perth,,16,,facebook.com/Halls-Masonry-and-Forming-Ltd-377649759047428/ With 724 likes.,Zip Not Valid
Nu Construction Management  Construction Company,facebook.com/nu.constructionmgmt,facebook.com/nu.constructionmgmt,6048378868,,,nuconstruction.org/,nuconstructionmgmt@gmail.com,280-11180 Voyageur Way,"Established in 2005   specializes in custom luxury home building, and... 280-11180 Voyageur Way, Richmond, BC, Canada V6X 3G9",and... 280-11180 Voyageur Way,,2,,facebook.com/nu.constructionmgmt With 19 likes.,Zip Not Valid
Pristine Landscaping Ltd.  Landscape Company,facebook.com/PristineLandscapingLtd,facebook.com/PristineLandscapingLtd,2047246759,,,,pristinelandscape@outlook.com,1635-A 13th Street,"Here to serve Brandon and area for all your landscape and yard care needs with fast, dependable,... 1635-A 13th Street, Brandon, MB, Canada R7A4S7","dependable,... 1635-A 13th Street",,47,,facebook.com/PristineLandscapingLtd With 397 likes.,Zip Not Valid
AK Home Inspections  Consulting agency,facebook.com/AKHomeInspections,facebook.com/AKHomeInspections,7782142979,,,akhomeinspect.com/,akhomeinspector@gmail.com,,"serving the Okanagan  Valley.  Get your new home inspected before you buy and... Kelowna, BC, Canada",BC,,42,,facebook.com/AKHomeInspections With 305 likes.,Zip Not Valid
Lock Seven Landscaping  Landscape Company,facebook.com/locksevenlandscaping,facebook.com/locksevenlandscaping,9059800411,,,locksevenlandscaping.com/,locksevenlandscaping@gmail.com,21 Carleton Street South,"Landscaping has always been my passion. My vision is for everyone to love their yard, gardens... 21 Carleton Street South, Thorold, ON, Canada L2V 1Z7",gardens... 21 Carleton Street South,,47,,facebook.com/locksevenlandscaping Serving the Niagara Region. With 45 likes.,Zip Not Valid
Buist Landscaping Inc.  Landscape Company,facebook.com/BuistLandscaping,facebook.com/BuistLandscaping,9055783823,,,buistlandscaping.com/contact,sales@buistlandscaping.com,155 Glover Road,"Residential & Commercial Landscaping, Landscape Construction, Design & Build, Wood and Stone Decks,... 155 Glover Road, Hamilton, ON, Canada L0R 1P0",Landscape Construction,,47,,facebook.com/BuistLandscaping With 168 likes.,Zip Not Valid
R.A Ripley Electric Limited  Home Improvement,facebook.com/R.ARipleyelectriclimited,facebook.com/R.ARipleyelectriclimited,9052616503,,,,ripleyraymond@yahoo.ca,P.O Box 556,"is a full service licenced residential and commercial electrical... P.O Box 556, Orono, ON, Canada L0B 1M0",Orono,,25,,facebook.com/R.ARipleyelectriclimited With 84 likes.,Zip Not Valid
Walls Metal Roofing inc  Contractor,facebook.com/1086067398075411,facebook.com/WallsMetalRoofingInc/,9022983022,,,wallsmetalroofing.com/,sales@wallsmetalroofing.com,1314 NS-325,"Family owned and operated we are one of the leading suppliers for metal roofing in Nova Scotia.... 1314 NS-325, Bridgewater, NS, Canada B0J 1E0",Bridgewater,,59,,facebook.com/WallsMetalRoofingInc/ With 1752 likes.,Zip Not Valid
MJZ Construction  Contractor,facebook.com/mjzconstructionltd,facebook.com/mjzconstructionltd,7782394644,,,,,5521 Maple Crescent,"consists of motivated and talented workers who all share a common goal, to complete 5521 Maple Crescent, Delta, BC, Canada V4k 1g3",to complete 5521 Maple Crescent,,2,,facebook.com/mjzconstructionltd With 141 likes.,Zip Not Valid
Mike's Contracting  Home Improvement,facebook.com/864657717078244,facebook.com/Mikes-Contracting-864657717078244/,7094244830,,,,tracyfahey@icloud.com,P.O. Box 323,"I have 31 years experience. Im a professional flooring installer, carpenter and... P.O. Box 323, Glenwood, NL, Canada A0G 2K0",carpenter and... P.O. Box 323,,2,,facebook.com/Mikes-Contracting-864657717078244/ With 252 likes.,Zip Not Valid
DJM Landscaping  Landscape Company,facebook.com/DJM-Landscaping-103041285120061,facebook.com/DJM-Landscaping-103041285120061,7058681265,,,,dwayne95@live.ca,,"is here to provide you with all your landscape needs from interlock brick,retaining... Park St, Trent Hills, ON K0L, Canada, Hastings,...",Trent Hills,,47,,facebook.com/DJM-Landscaping-103041285120061 With 66 likes.,Zip Not Valid
SouthPaw Painting  Contractor,facebook.com/SouthPawPainting,facebook.com/SouthPawPainting,7057968527,,,,spawpainting@gmail.com,,"Honest,reliable,professional service, and top quality painting for all residents in Barrie and the... Barrie, ON, Canada Lm4",and top quality painting for all residents in Barrie and the... Barrie,,55,,facebook.com/SouthPawPainting With 196 likes.,Zip Not Valid
Bright Brothers Cleaning  Professional Service,facebook.com/Bright-Brothers-Cleaning-850961595010403,facebook.com/Bright-Brothers-Cleaning-850961595010403,7057277367,,7057960650,BrightBrosCleaning.com/,office@brightbroscleaning.com,,"We specialize in residential and commercial window cleaning, as well as eavestrough and commercial... Barrie, ON, Canada L4N 0C2",as well as eavestrough and commercial... Barrie,,13,,facebook.com/Bright-Brothers-Cleaning-850961595010403 With 77 likes.,Zip Not Valid
Kohut Electric Ltd  Electrician,facebook.com/KohutElectric,facebook.com/KohutElectric,7055673396,,,kohutelectric.com/,info@kohutelectric.com,41 STATION ROAD NORTH,"Heating/furnace, air conditioning refrigeration, generator, Electrical, fireburglar alarms, heat... 41 STATION ROAD NORTH, Kirkland Lake, ON, Canada...",air conditioning refrigeration,,25,,facebook.com/KohutElectric With 509 likes.,Zip Not Valid
WINMAR Property Restoration Specialists  Cleaning Service,facebook.com/Sudbury.Winmar,facebook.com/Sudbury.Winmar,7055243813,,,winmarsudbury.com/,sudbury@winmar.ca,2866 Kingsway,"WINMAR Sudbury is part of a national network of 90 plus locations providing quality restoration... 2866 Kingsway, Greater Sudbury, ON, Canada P3B 2G3",Greater Sudbury,,13,,facebook.com/Sudbury.Winmar With 42 likes.,Zip Not Valid
James Cameron Construction  Contractor,facebook.com/763359683685117,facebook.com/James-Cameron-Construction-763359683685117/,7052412263,,,jamescameronconstruction.com/,jamescameronconstruction@gmail.com,Highway 12 brechin,"We specialize in custom homes, garages, renovations, additions, engineered slabs, and decks. Highway 12 brechin, Orillia, ON, Canada",garages,,2,,facebook.com/James-Cameron-Construction-763359683685117/ With 1794 likes.,Zip Not Valid
North Pro Barn Painting  Contractor,facebook.com/northprobarnpainting,facebook.com/northprobarnpainting,6476975737,,,northprobarnpainting.com/,northprobarnpainting7@hotmail.com,,"is a trusted barn painting company in Guelph that is passionate about... 356 Imperial Rd S Guelph, ON N1K 1L8, Guelph, ON, Canada...",ON N1K 1L8,,55,,facebook.com/northprobarnpainting With 157 likes.,Zip Not Valid
3rd generation masonry  Contractor,facebook.com/3rdgenerationmasonry,facebook.com/3rdgenerationmasonry,6139789175,,,,,,"Been around the trade my whole life. I truly am 3rd gen in this trade in Ottawa. Started my... west end, Ottawa, ON, Canada K2H",Ottawa,,16,,facebook.com/3rdgenerationmasonry With 83 likes.,Zip Not Valid
Knowles Electric  Electrician,facebook.com/knowleselectric,facebook.com/knowleselectric,6139298474,,,,,,"is here to serve you quality work with a certified electrician ECRA/ESA 7012259... 1006 Bethel Rd, Yarker, ON, Canada K0K 3N0",Yarker,,25,,facebook.com/knowleselectric With 295 likes.,Zip Not Valid
BTR Construction  Construction Company,facebook.com/btrconstructiontweed,facebook.com/btrconstructiontweed,6138472391,,,dtorch1.wixsite.com/btrconstruction,bearkat1958@gmail.com,,"You name it, we do it and if we can't do it, then it can't be done 141 Stoco Road, Tweed, ON, Canada K0K3J0",we do it and if we can't do it,,2,,facebook.com/btrconstructiontweed With 59 likes.,Zip Not Valid
Hymers Homes  Carpenter,facebook.com/HymersHomes,facebook.com/HymersHomes,6134068411,,,,,,"Located in Carleton Place, Ont.  is a Local Renovator and General Contractor offering... 10 Weaver, Ottawa, ON, Canada",Ottawa,,9,,facebook.com/HymersHomes With 124 likes.,Zip Not Valid
NewView Exteriors  Contractor,facebook.com/NewView-Exteriors-1605716452985777,facebook.com/NewView-Exteriors-1605716452985777,6132420152,,,,,,"We are an Exterior renovations company specializing in Windows, Doors, fascia, Siding, soffit and... 251 Stockdale rd, Trenton, ON, Canada K8V 5P6",Doors,,69,,facebook.com/NewView-Exteriors-1605716452985777 With 49 likes.,Zip Not Valid
Cross Construction  Professional Service,facebook.com/Cross-Construction-931339576978891,facebook.com/Cross-Construction-931339576978891,6132293302,,,,,,"Fully Liscensed and Insured. We have the know how and contacts for all of your residential... Chesterville, ON, Canada K0C 1H0",ON,,2,,facebook.com/Cross-Construction-931339576978891 With 357 likes.,Zip Not Valid
Ridgeline Exteriors  Construction Company,facebook.com/102271957949399,facebook.com/Ridgeline-Exteriors-102271957949399/,6049911622,,,,info@ridge-lineexteriors.com,Unit 107 43815 Progress Way,"The siding and renovation division of Dekoff Developments.We specialize in a range of premium... Unit 107 43815 Progress Way, Chilliwack, BC, Canada V2R 3V3",Chilliwack,,69,,facebook.com/Ridgeline-Exteriors-102271957949399/ With 30 likes.,Zip Not Valid
BNR Electric Ltd  Electrician,facebook.com/369853296479791,facebook.com/BNR-Electric-Ltd-369853296479791/,6048197887,,,bnr-electric.com/,bradmueller.bnr@gmail.com,304-43881 progress way,"Commercial, Industrial, Agriculture, Service, Maintenance 304-43881 progress way, Chilliwack, BC, Canada V2R 5C6",Industrial,,25,,facebook.com/BNR-Electric-Ltd-369853296479791/ With 363 likes.,Zip Not Valid
North Coast Landscaping Ltd  Landscape Company,facebook.com/northcoastlandscapingbc,facebook.com/northcoastlandscapingbc,6046443205,,,,northcoastlandscapingbc@gmail.com,,"We are a local family run landscaping business serving the lower mainland  Delta St, Delta, BC V4K, Canada, Delta, BC, Canada V4K",Delta,,47,,facebook.com/northcoastlandscapingbc With 193 likes.,Zip Not Valid
Bonnett Landscaping  Landscape Company,facebook.com/Bonnett.Landscaping,facebook.com/Bonnett.Landscaping,5199094500,,,bonnett-landscaping.business.site/,bonnett.landscaping@hotmail.com,,"is a locally owned business dedicated to making your property stand out amongst... Port Dover, ON, Canada N0A1N0",ON,,47,,facebook.com/Bonnett.Landscaping With 110 likes.,Zip Not Valid
Fox Custom Construction Company Inc  Carpenter,facebook.com/foxcustomconstructioncompany,facebook.com/foxcustomconstructioncompany,5193796693,,,,foxcustomcompany@gmail.com,,"we biuld custom homes, start to finish. but we can also help with any of your projects that need to... Hanover, ON, Canada",start to finish. but we can also help with any of your projects that need to... Hanover,,9,,facebook.com/foxcustomconstructioncompany With 217 likes.,Zip Not Valid
DULAC Service d'Arbres  Landscape Company,facebook.com/DULAC-Service-dArbres-153870258094192,facebook.com/Dulactreeservice/,5143552232,,,dulacservicedarbres.com/,christophe.d@hotmail.com,,"DULAC services d'arbres 35ans d'experiance, mondage,abattage,installation de poteau de corde a... 5190 paul-pau, Montreal, QC, Canada","mondage,abattage,installation de poteau de corde a... 5190 paul-pau",,39,,facebook.com/Dulactreeservice/ With 63 likes.,Zip Not Valid
Mitchell McLean Contracting Inc.  Construction Company,instagram.com/mclean.mitchell,facebook.com/Mitchell-McLean-Contracting-Inc-1742389589386017/,5066090473,,,instagram.com/mclean.mitchell/,mm_contracting@hotmail.com,,"Contractor in Atlantic Canada  Concrete  Commercial and Agricultural Buildings  Drainage Solutions  Main St., Sussex, NB, Canada E4E",Sussex,,13,,facebook.com/Mitchell-McLean-Contracting-Inc-1742389589386017/ With 291 likes.,Zip Not Valid
BLAIS construction  Contractor,facebook.com/BLAIS-construction-838592039595685,facebook.com/BLAIS-construction-838592039595685,4189821560,,,blaisconstruction.com/,blaisconstruction@gmail.com,412 route Bu00e9gin,"entreprise en constructions neuves, rnovations majeurs, commerciales. Une quipe dynamique sachant... 412 route Bgin, Saint-Anselme, QC, Canada G0R 2N0",rnovations majeurs,,2,,facebook.com/BLAIS-construction-838592039595685 With 498 likes.,Zip Not Valid
Art One Renovations  Furniture,facebook.com/ART1RENOVATIONS,facebook.com/ART1RENOVATIONS,4169865441,,,artonerenovation.com/index.html,artonereno@gmail.com,"11-701, Millway Avenue, Unit11","Pioneers in furniture manufacturing and living space re modelling, we specialize in restaurant... 11-701, Millway Avenue, Unit11, Vaughan, ON, Canada L4K 3S7",we specialize in restaurant... 11-701,,2,,facebook.com/ART1RENOVATIONS With 41 likes.,Zip Not Valid
Greenfield Irrigation  Landscape Company,facebook.com/Greenfield-Irrigation-894388430700831,facebook.com/Greenfield-Irrigation-894388430700831,4169317796,,,greenfieldlawnsprinklers.com/,greenfieldirrigationsystems@gmail.com,,"-@irrigation systems-@Landscape Lighting-@Snow Removal-@wood or pvc Fence and Decks-@Rock/waterfall... Bolton, on, Canada",ON,,47,,facebook.com/Greenfield-Irrigation-894388430700831 With 103 likes.,Zip Not Valid
Amista Homes  Home Improvement,facebook.com/Amista-Homes-107203304313175,facebook.com/Amista-Homes-107203304313175,4167226912,,,amistahomes.com/pages/custom-home-builders-renovation-contractors-toronto,a7226912@gmail.com,,"We make sure to deliver the highest quality and professionalism till the end of the project and... Toronto, ON, Canada",ON,,2,,facebook.com/Amista-Homes-107203304313175 With 0 likes.,Zip Not Valid
Influx Electric  Electrician,facebook.com/influxelectrictoronto,facebook.com/influxelectrictoronto,4162424470,,4162524470,influxelectric.com/,info@influxelectric.com,117 Disco Rd,"is a leading provider of electrical contracting services servicing Ontario. We... 117 Disco Rd, Toronto, ON, Canada M9W1M3",Toronto,,25,,facebook.com/influxelectrictoronto With 51 likes.,Zip Not Valid
Earthworks Specialized  Demolition & Excavation Company,facebook.com/earthworksspecialized,facebook.com/earthworksspecialized,4036015665,,,earthworksspecialized.com/contact,danny@earthworksspecialized.com,,"Locally owned  operated Excavation business out of the Okotoks area  serving Alberta ...... Okotoks, AB, Canada",AB,,18,,facebook.com/earthworksspecialized With 73 likes.,Zip Not Valid
FairValley Landscaping  Landscape Company,facebook.com/FairValley-Landscaping-1149949571716564,facebook.com/FairValley-Landscaping-1149949571716564,4033503427,,,,floyd.fvland@xplornet.com,39302-RR22-4,"Site Preparation, Sod Installation, Trees and Shrubs, Snow Removal, Lawn & Yard Maintenance, Paving... 39302-RR22-4, Alix, AB, Canada T0C 0B0",Sod Installation,,47,,facebook.com/FairValley-Landscaping-1149949571716564 With 105 likes.,Zip Not Valid
C.O. Construction  Construction Company,facebook.com/CO-Construction-286554175092226,facebook.com/CO-Construction-286554175092226,3064813005,,,,,,"Construction and Renovation Specialists. Quality you deserve, dependability you can count on. 10101 Ross Cres., North Battleford, SK, Canada S9A 3R5",dependability you can count on. 10101 Ross Cres.,,2,,facebook.com/CO-Construction-286554175092226 With 64 likes.,Zip Not Valid
Linklater Enterprises Ltd  Home Improvement,facebook.com/linklaterEnterprises,facebook.com/linklaterEnterprises,2507191248,,,,linklaterenterprises@gmail.com,,"Interior/Exterior Residential and Commercial renovations and Improvements  Dawson Creek, BC, Canada",BC,,2,,facebook.com/linklaterEnterprises With 231 likes.,Zip Not Valid
Koen Property Services  Home Improvement,facebook.com/2064136063643090,facebook.com/Koen-Property-Services-2064136063643090/,2502285636,,,,leemanredbeard@gmail.com,,"is a locally owned and operated business offering a variety of yard and home... Melrose Rd, Qualicum Beach, BC, Canada V9K1V3",Qualicum Beach,,2,,facebook.com/Koen-Property-Services-2064136063643090/ With 163 likes.,Zip Not Valid
Final Touch Construction  Home Improvement,facebook.com/215703729196044,facebook.com/Final-Touch-Construction-215703729196044/,2266275190,,,,finaltouch496@gmail.com,,"Here at  we focus on giving you the best experience with your new home... Leamington, ON, Canada",ON,,2,,facebook.com/Final-Touch-Construction-215703729196044/ With 160 likes.,Zip Not Valid
MIHEK Painting  House Painting,facebook.com/mihekpainting,facebook.com/mihekpainting,2263467410,,,,miro22michek@hotmail.com,173 Owenwood Drive,"Painting  Interior/ExteriorStencillingWood staining/finishing/painting 173 Owenwood Drive, Kingsville, ON, Canada",Kingsville,,55,,facebook.com/mihekpainting With 189 likes.,Zip Not Valid
Curval Construction  Productservice,facebook.com/Curval-Construction-640995313187989,facebook.com/Curval-Construction-640995313187989,9025493919,,,curval.com/,jakeorkish@gmail.com,,"New homes and renovations in Cape Breton  Sydney, NS, Canada",NS,,2,,facebook.com/Curval-Construction-640995313187989 With 513 likes.,Zip Not Valid
Xcellence Flooring BC  Productservice,instagram.com/xcellenceflooringbc,facebook.com/Xcellence-Flooring-BC-108580534853591,6725159873,,,,xcellenceflooringbc@gmail.com,2203 - 8700 McKim Way,"We're a locally owned and operated one-stop flooring shop with a wide range of flooring products.... 2203 - 8700 McKim Way, Richmond, BC, Canada V6X 4A5",Richmond,,32,,facebook.com/Xcellence-Flooring-BC-108580534853591 With 117 likes.,Zip Not Valid
Pro Clean MD  Cleaning Service,facebook.com/ProCleanMD,facebook.com/ProCleanMD,4169190151,,,,procleanmd@outlook.com,,"meets your cleaning needs   Vehicle -car, SUV, cargo van, truck driver's cabin... 6 Alice Springs Cres, Brampton, ON, Canada L6X0R5",SUV,,13,,facebook.com/ProCleanMD With 54 likes.,Zip Not Valid
dayplumbinginc.ca  Productservice,facebook.com/dayplumbingincca-462170934342393,facebook.com/dayplumbingincca-462170934342393,4165680034,,,,dayplumbinginc@yahoo.ca,,"Licensed plumber Guarantee 45680034 Full Insurace WSIB Toronto And GTA Toronto, ON, Canada",ON,,60,,facebook.com/dayplumbingincca-462170934342393 With 16 likes.,Zip Not Valid
Max Landscaping & Snow Removal  Local service,facebook.com/maxlandscapingsnowremoval,facebook.com/maxlandscapingsnowremoval,9053418668,,,,max.landscaping7@hotmail.com,,"Max Landscaping provides lawn mowing, gardening,seeding, fertilizing, mulching,weed control and... Glendale Ave, St Catharines, ON L2T, Canada, Saint...","gardening,seeding",,47,,facebook.com/maxlandscapingsnowremoval Free estimate With 75 likes.,Zip Not Valid
Ultimate excavating ltd  Demolition & Excavation Company,facebook.com/1970434696549549,facebook.com/Ultimate-excavating-ltd-1970434696549549/,5877835993,,7808500096,,mpultimateexcavating@gmail.com,,"Landscaping, excavating , free estimate  Edmonton, AB, Canada",excavating,,18,,facebook.com/Ultimate-excavating-ltd-1970434696549549/ With 152 likes.,Zip Not Valid
